常看,#genre#
汕头-经济,http://192.168.10.1:8888/rtp/239.21.0.102:3748
中文国际,http://192.168.10.1:8888/rtp/239.20.0.16:3340
凤凰资讯,http://wouu.net:9977/rtp/239.93.0.118:2191?Cf=cfss.cc
凤凰资讯,https://cdn3.163189.xyz/live/fhzx/stream.m3u8
凤凰资讯,https://cdn3.163189.xyz/live/fhzx/stream.m3u8
凤凰资讯,http://cdn5.1678520.xyz/live/?id=fhzx
凤凰资讯,http://kxrj.site:1333/86/fh.php?id=fhzx
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰资讯,http://211.72.65.236:8576/.m3u8
凤凰资讯,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236197/index.m3u8
凤凰资讯,http://121.205.69.190:8848/rtp/239.61.2.183:9086
央视国际,http://192.168.10.1:8888/rtp/239.11.0.103:1025
翡翠台,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
J2,http://php.jdshipin.com:8880/PLTV/iptv.php?id=j2
J2,http://php.jdshipin.com:8880/TVOD/iptv.php?id=j2

央视,#genre#
央视国际,http://192.168.10.1:8888/rtp/239.11.0.103:1025
CCTV-1 综合,http://192.168.10.1:8888/rtp/239.10.0.114:1025
CCTV-2 综合,http://192.168.10.1:8888/rtp/239.10.0.207:1025
CCTV-3 综艺,http://192.168.10.1:8888/rtp/239.20.0.28:3292
CCTV-4 中文国际,http://192.168.10.1:8888/rtp/239.20.0.16:3340
CCTV-5 体育,http://192.168.10.1:8888/rtp/239.10.0.102:1025
CCTV-5+,http://192.168.10.1:8888/rtp/239.10.0.213:1025
CCTV-6 电影,http://192.168.10.1:8888/rtp/239.20.0.29:3288
CCTV-7 国防军事,http://192.168.10.1:8888/rtp/239.10.0.208:1025
CCTV-8 电视剧,http://192.168.10.1:8888/rtp/239.20.0.31:3280
CCTV-9 纪录,http://192.168.10.1:8888/rtp/239.10.0.209:1025
CCTV-10 科教,http://192.168.10.1:8888/rtp/239.20.0.200:2198
CCTV-13 新闻,http://192.168.10.1:8888/rtp/239.21.0.88:3692

卫视,#genre#
东方卫视,http://192.168.10.1:8888/rtp/239.20.0.173:2144
深圳卫视,http://192.168.10.1:8888/rtp/239.20.0.122:2042
浙江卫视,http://192.168.10.1:8888/rtp/239.20.0.169:2136
湖南卫视,http://192.168.10.1:8888/rtp/239.20.0.105:2008
江苏卫视,http://192.168.10.1:8888/rtp/239.20.0.170:2138
广东卫视超清,http://192.168.10.1:8888/rtp/239.20.0.99:3004
南方卫视,http://192.168.10.1:8888/rtp/239.21.0.84:3676
广东新闻,http://192.168.10.1:8888/rtp/239.21.0.93:3712

地方,#genre#
汕头-经济,http://192.168.10.1:8888/rtp/239.21.0.102:3748
汕头-综合,http://192.168.10.1:8888/rtp/239.21.0.101:3744
汕头-文体,http://192.168.10.1:8888/rtp/239.21.0.103:3752
揭阳-综合,http://192.168.10.1:8888/rtp/239.21.0.91:3704
揭阳-公共,http://192.168.10.1:8888/rtp/239.21.0.92:3708
潮州-综合,http://192.168.10.1:8888/rtp/239.21.0.145:3924
潮州-民生,http://192.168.10.1:8888/rtp/239.21.0.146:3928



